Situação;Descrição;Código;"Família de Produto";"Código NCM";"Preço Unitário de Venda";"Estoque Físico";Reservado;"Estoque Disponível";Unidade;"Peso Líquido";"Peso Bruto";Altura;Largura;Profundidade;Marca;Modelo;"Dias de Garantia";"Dias de Crossdocking";"Cupom Fiscal (PDV)";Marketplace;"Tipo do Item (Bloco K)";"Origem da Mercadoria";"Preço Tabelado (Pauta)";"Produzido em Escala Relevante";"CNPJ Fabricante";Características;"Leadtime de Ressuprimento";Inclusão;"Última Alteração";"Incluído por";"Alterado por"
Ativo;"CAMISA OVERSIDE PRETO XG";PRD00656;CAMISAS;6106.90.00;79,900000;,000000;,000000;,000000;"Unidade (UN)";,150;,215;52,800;70,600;,200;"COMUNIDADE CATÓLICA SHALOM";"HALLELUYA 2026";0;0;Não;Não;"00 - Mercadoria para Revenda";"Nacional, exceto as indicadas nos códigos 3, 4, 5 e 8";;;;;0;"2026-06-25 15:39:08";"2026-07-06 11:41:34";Guilherme;MICAELY
Ativo;"CAMISA OVERSIDE PRETO GG";PRD00655;CAMISAS;6106.90.00;79,900000;,000000;,000000;,000000;"Unidade (UN)";,150;,215;52,800;70,600;,200;"COMUNIDADE CATÓLICA SHALOM";"HALLELUYA 2026";0;0;Não;Não;"00 - Mercadoria para Revenda";"Nacional, exceto as indicadas nos códigos 3, 4, 5 e 8";;;;;0;"2026-06-25 15:39:08";"2026-07-06 11:41:49";Guilherme;MICAELY
Ativo;"CAMISA OVERSIDE PRETO G";PRD00654;CAMISAS;6106.90.00;79,900000;2,000000;,000000;2,000000;"Unidade (UN)";,150;,215;52,800;70,600;,200;"COMUNIDADE CATÓLICA SHALOM";"HALLELUYA 2026";0;0;Não;Não;"00 - Mercadoria para Revenda";"Nacional, exceto as indicadas nos códigos 3, 4, 5 e 8";;;;;0;"2026-06-25 15:39:07";"2026-07-06 11:42:02";Guilherme;MICAELY
Ativo;"CAMISA OVERSIDE PRETO M";PRD00653;CAMISAS;6106.90.00;79,900000;2,000000;,000000;2,000000;"Unidade (UN)";,150;,215;52,800;70,600;,200;"COMUNIDADE CATÓLICA SHALOM";"HALLELUYA 2026";0;0;Não;Não;"00 - Mercadoria para Revenda";"Nacional, exceto as indicadas nos códigos 3, 4, 5 e 8";;;;;0;"2026-06-25 15:39:07";"2026-07-06 11:42:16";Guilherme;MICAELY
Ativo;"CAMISA OVERSIDE PRETO P";PRD00652;CAMISAS;6106.90.00;79,900000;10,000000;,000000;10,000000;"Unidade (UN)";,150;,215;52,800;70,600;,200;"COMUNIDADE CATÓLICA SHALOM";"HALLELUYA 2026";0;0;Não;Não;"00 - Mercadoria para Revenda";"Nacional, exceto as indicadas nos códigos 3, 4, 5 e 8";;;;;0;"2026-06-25 15:39:06";"2026-07-06 11:42:36";Guilherme;MICAELY
Ativo;"ICONE RELEITURA TODA PEQUENA A3 - 35CM";PRD00651;ÍCONE;3926.40.00;88,900000;8,000000;,000000;8,000000;"Unidade (UN)";,000;,000;,000;,000;,000;;;0;0;Não;Não;"00 - Mercadoria para Revenda";"Nacional, exceto as indicadas nos códigos 3, 4, 5 e 8";;;;;0;"2026-06-24 10:00:37";"2026-06-25 08:58:41";Guilherme;Guilherme
Ativo;"ICONE RESSUSCITADO DIACONIA GOLD - 42CM";PRD00650;ÍCONE;3926.40.00;100,900000;9,000000;,000000;9,000000;"Unidade (UN)";,000;,000;,000;,000;,000;;;0;0;Não;Não;"00 - Mercadoria para Revenda";"Nacional, exceto as indicadas nos códigos 3, 4, 5 e 8";;;;;0;"2026-06-24 10:00:36";"2026-06-25 08:58:41";Guilherme;Guilherme
Ativo;"ICONE RESSUSCITADO DIACONIA GOLD - 32CM";PRD00649;ÍCONE;3926.40.00;75,900000;10,000000;,000000;10,000000;"Unidade (UN)";,000;,000;,000;,000;,000;;;0;0;Não;Não;"00 - Mercadoria para Revenda";"Nacional, exceto as indicadas nos códigos 3, 4, 5 e 8";;;;;0;"2026-06-24 10:00:35";"2026-06-25 08:58:41";Guilherme;Guilherme
Ativo;"ICONE SÃO JOSÉ PEREGRINO A3 - 35CM";PRD00648;ÍCONE;3926.40.00;88,900000;10,000000;,000000;10,000000;"Unidade (UN)";,000;,000;,000;,000;,000;;;0;0;Não;Não;"00 - Mercadoria para Revenda";"Nacional, exceto as indicadas nos códigos 3, 4, 5 e 8";;;;;0;"2026-06-24 10:00:32";"2026-06-25 08:58:41";Guilherme;Guilherme
Ativo;"ICONE CARLO ACUTIS A5 - GOLD";PRD00647;ÍCONE;3926.40.00;37,900000;9,000000;,000000;9,000000;"Unidade (UN)";,000;,000;,000;,000;,000;;;0;0;Não;Não;"00 - Mercadoria para Revenda";"Nacional, exceto as indicadas nos códigos 3, 4, 5 e 8";;;;;0;"2026-06-24 10:00:32";"2026-06-25 08:58:40";Guilherme;Guilherme
